Product_ID,Supplier,Material_Name,Clean_Search_Name,CAS_Number,Remediation_Status,Canonical_Name,Verified_CAS,PubChem_Link,Price_USD/g,Is_Dilution,Active_Material,Solvent,Active_%,Notes
1VD00002,PerfumersWorld,6-Methyl Coumarin from PerfumersWorld,6-methyl coumarin,92-48-8,VERIFIED_MATCH,6-Methylcoumarin,92-48-8,https://pubchem.ncbi.nlm.nih.gov/compound/7092,0.5800,FALSE,,,,
5VD07562,PerfumersWorld,6-Methyl Coumarin 10% in DPG from PerfumersWorld,6-methyl coumarin,"92-48-8|0.1
25265-71-8|0.9",VERIFIED_MATCH,6-Methylcoumarin,92-48-8,https://pubchem.ncbi.nlm.nih.gov/compound/7092,0.1800,TRUE,6-Methyl Coumarin from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
6AN18003,PerfumersWorld,A-ALDEHYDE F-TEC from PerfumersWorld,a-aldehyde,Mixture (Perfume Base),VERIFIED,,,,0.1800,FALSE,,,,
6AN07832,PerfumersWorld,A-Aldehyde Fleuressence from PerfumersWorld,a-aldehyde,Mixture (Perfume Base),VERIFIED,,,,0.2000,FALSE,,,,
6NL18079,PerfumersWorld,ACACIA F-TEC from PerfumersWorld,acacia,Mixture (Perfume Base),VERIFIED,,,,0.2000,FALSE,,,,
6NL08389,PerfumersWorld,Acacia Fleuressence from PerfumersWorld,acacia,Mixture (Perfume Base),VERIFIED,,,,0.1900,FALSE,,,,
4FG02943,PerfumersWorld,Acetic Acid from PerfumersWorld,acetic acid,64-19-7,VERIFIED_MATCH,Acetic Acid,64-19-7,https://pubchem.ncbi.nlm.nih.gov/compound/176,0.0700,FALSE,,,,
4DV02664,PerfumersWorld,Acetoin from PerfumersWorld,acetoin,513-86-0,VERIFIED_MATCH,Acetoin,513-86-0,https://pubchem.ncbi.nlm.nih.gov/compound/179,0.9200,FALSE,,,,
5DV09244,PerfumersWorld,Acetoin 10% in DPG from PerfumersWorld,acetoin,"513-86-0|0.1
25265-71-8|0.9",VERIFIED_MATCH,Acetoin,513-86-0,https://pubchem.ncbi.nlm.nih.gov/compound/179,0.1300,TRUE,Acetoin from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
1NP00009,PerfumersWorld,Acetophenone from PerfumersWorld,acetophenone,98-86-2,VERIFIED_MATCH,Acetophenone,98-86-2,https://pubchem.ncbi.nlm.nih.gov/compound/7410,0.2300,FALSE,,,,
1SP00011,PerfumersWorld,Acetyl Isoeugenol from PerfumersWorld,acetyl isoeugenol,93-29-8,VERIFIED_MATCH,Isoeugenyl acetate,93-29-8,https://pubchem.ncbi.nlm.nih.gov/compound/876160,0.6000,FALSE,,,,
5SP07823,PerfumersWorld,Acetyl Isoeugenol 10% in DPG from PerfumersWorld,acetyl isoeugenol,"93-29-8|0.1
25265-71-8|0.9",VERIFIED_MATCH,Isoeugenyl acetate,93-29-8,https://pubchem.ncbi.nlm.nih.gov/compound/876160,0.1200,TRUE,Acetyl Isoeugenol from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4GA00012,PerfumersWorld,Adoxal from PerfumersWorld,adoxal,141-13-9,VERIFIED_MATCH,"2,6,10-Trimethyl-9-undecenal",141-13-9,https://pubchem.ncbi.nlm.nih.gov/compound/98403,1.4200,FALSE,,,,
5GA08479,PerfumersWorld,Adoxal 10% in DPG from PerfumersWorld,adoxal,"141-13-9|0.1
25265-71-8|0.9",VERIFIED_MATCH,"2,6,10-Trimethyl-9-undecenal",141-13-9,https://pubchem.ncbi.nlm.nih.gov/compound/98403,0.1700,TRUE,Adoxal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
6WU18875,PerfumersWorld,AGARWOOD F-TEC from PerfumersWorld,agarwood,Mixture (Perfume Base),VERIFIED,,,,1.3000,FALSE,,,,
6WU08483,PerfumersWorld,Agarwood Fleuressence from PerfumersWorld,agarwood,Mixture (Perfume Base),VERIFIED,,,,1.6000,FALSE,,,,
7WU09890,PerfumersWorld,Agarwood Oil Siam from PerfumersWorld,agarwood oil siam,94350-09-1,NATURAL_MIXTURE,,94350-09-1,,25.0000,FALSE,,,,
5WU15067,PerfumersWorld,Agarwood Oil Siam 10% in DPG from PerfumersWorld,agarwood oil siam,"94350-09-1|0.1
25265-71-8|0.9",NATURAL_MIXTURE,,94350-09-1,,2.8000,TRUE,Agarwood Oil Siam from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
8WU13317,PerfumersWorld,Agarwood Siam 10% in Nagarmotha Oil from PerfumersWorld,agarwood siam,94350-09-1|0.1,NATURAL_MIXTURE,,94350-09-1,,3.9400,TRUE,Agarwood Siam from PerfumersWorld,Nagarmotha Oil from PerfumersWorld,10.00,
6CG13368,PerfumersWorld,Agrumen Aldehyde PW from PerfumersWorld,agrumen aldehyde pw,Mixture (Perfume Base),VERIFIED,,,,0.2000,FALSE,,,,
3AE13387,PerfumersWorld,Alcohol C-7 Heptanol from PerfumersWorld,alcohol c-7 heptanol,111-70-6,FIXED_FROM_AUDIT,,111-70-6,https://pubchem.ncbi.nlm.nih.gov/compound/8129,0.3400,FALSE,,,,
3AD13388,PerfumersWorld,Alcohol C-8 Octanol from PerfumersWorld,alcohol c-8 octanol,111-87-5,FIXED_FROM_AUDIT,,111-87-5,https://pubchem.ncbi.nlm.nih.gov/compound/957,0.2000,FALSE,,,,
3AD00017,PerfumersWorld,Alcohol C-9 from PerfumersWorld,alcohol c-9,143-08-8,FIXED_FROM_AUDIT,,143-08-8,https://pubchem.ncbi.nlm.nih.gov/compound/8914,0.7000,FALSE,,,,
4AC00018,PerfumersWorld,Aldehyde C-10 Decanal from PerfumersWorld,aldehyde c-10 decanal,112-31-2,VERIFIED_MATCH,Allyl amyl glycolate,112-31-2,https://pubchem.ncbi.nlm.nih.gov/compound/106729,0.1700,FALSE,,,,
5AC07527,PerfumersWorld,Aldehyde C-10 Decanal 10% in DPG from PerfumersWorld,aldehyde c-10 decanal,"67634-00-8|0.1
25265-71-8|0.9",VERIFIED_MATCH,Allyl amyl glycolate,67634-00-8,https://pubchem.ncbi.nlm.nih.gov/compound/106729,0.0800,TRUE,Aldehyde C-10 Decanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
5AC08459,PerfumersWorld,Aldehyde C-10 Decanal 50% in DPG from PerfumersWorld,aldehyde c-10 decanal,"67634-00-8|0.5
25265-71-8|0.5",VERIFIED_MATCH,Allyl amyl glycolate,67634-00-8,https://pubchem.ncbi.nlm.nih.gov/compound/106729,0.1200,TRUE,Aldehyde C-10 Decanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00,
4AR00020,PerfumersWorld,Aldehyde C-11 Undecanal from PerfumersWorld,aldehyde c-11 undecanal,112-44-7,VERIFIED_MATCH,Undecanal,112-44-7,https://pubchem.ncbi.nlm.nih.gov/compound/8186,0.4100,FALSE,,,,
5AR08831,PerfumersWorld,Aldehyde C-11 Undecanal 10% in DPG from PerfumersWorld,aldehyde c-11 undecanal,"112-44-7|0.1
25265-71-8|0.9",VERIFIED_MATCH,Undecanal,112-44-7,https://pubchem.ncbi.nlm.nih.gov/compound/8186,0.1100,TRUE,Aldehyde C-11 Undecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4AR01236,PerfumersWorld,Aldehyde C-11 Undecylenic from PerfumersWorld,aldehyde c-11 undecylenic,112-45-8,VERIFIED_MATCH,10-Undecenal,112-45-8,https://pubchem.ncbi.nlm.nih.gov/compound/8187,0.3000,FALSE,,,,
5AR08462,PerfumersWorld,Aldehyde C-11 Undecylenic 10% in DPG from PerfumersWorld,aldehyde c-11 undecylenic,"112-45-8|0.1
25265-71-8|0.9",VERIFIED_MATCH,10-Undecenal,112-45-8,https://pubchem.ncbi.nlm.nih.gov/compound/8187,0.0700,TRUE,Aldehyde C-11 Undecylenic from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4AA00021,PerfumersWorld,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,aldehyde c-12 lauric dodecanal,112-54-9,VERIFIED_MATCH,Allyl amyl glycolate,112-54-9,https://pubchem.ncbi.nlm.nih.gov/compound/106729,0.2500,FALSE,,,,
5AA07834,PerfumersWorld,Aldehyde C-12 Lauric Dodecanal 10% in DPG from PerfumersWorld,aldehyde c-12 lauric dodecanal,"67634-00-8|0.1
25265-71-8|0.9",VERIFIED_MATCH,Allyl amyl glycolate,67634-00-8,https://pubchem.ncbi.nlm.nih.gov/compound/106729,0.0600,TRUE,Aldehyde C-12 Lauric Dodecanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4AG00022,PerfumersWorld,Aldehyde C-12 MNA from PerfumersWorld,aldehyde c-12 mna,110-41-8,VERIFIED,2-Methylundecanal,110-41-8,https://pubchem.ncbi.nlm.nih.gov/compound/61031,0.2800,FALSE,,,,
5AG07528,PerfumersWorld,Aldehyde C-12 MNA 10% in DPG from PerfumersWorld,aldehyde c-12 mna,"67634-00-8|0.1
25265-71-8|0.9",FORMATTING_FIX,2-Methylundecanal,67634-00-8,https://pubchem.ncbi.nlm.nih.gov/compound/61031,0.0600,TRUE,Aldehyde C-12 MNA from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4DD00454,PerfumersWorld,Aldehyde C-14 Gamma Undecalactone from PerfumersWorld,aldehyde c-14 gamma undecalactone,104-67-6,VERIFIED_MATCH,Gamma-undecalactone,104-67-6,https://pubchem.ncbi.nlm.nih.gov/compound/7714,0.1700,FALSE,,,,
5DD07538,PerfumersWorld,Aldehyde C-14 Gamma Undecalactone 10% in DPG from PerfumersWorld,aldehyde c-14 gamma undecalactone,"104-67-6|0.1
25265-71-8|0.9",VERIFIED_MATCH,Gamma-undecalactone,104-67-6,https://pubchem.ncbi.nlm.nih.gov/compound/7714,0.1500,TRUE,Aldehyde C-14 Gamma Undecalactone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4FC00176,PerfumersWorld,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate from PerfumersWorld,aldehyde c-16 ethyl methyl phenyl glycidate,77-83-8,VERIFIED_MATCH,Ethyl 3-methyl-3-phenylglycidate,77-83-8,https://pubchem.ncbi.nlm.nih.gov/compound/6501,0.1400,FALSE,,,,
5FC07539,PerfumersWorld,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate 10% in DPG from PerfumersWorld,aldehyde c-16 ethyl methyl phenyl glycidate,"77-83-8|0.1
25265-71-8|0.9",VERIFIED_MATCH,Ethyl 3-methyl-3-phenylglycidate,77-83-8,https://pubchem.ncbi.nlm.nih.gov/compound/6501,0.0600,TRUE,Aldehyde C-16 Ethyl Methyl Phenyl Glycidate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4DD00324,PerfumersWorld,Aldehyde C-18 Gamma Nonalactone from PerfumersWorld,aldehyde c-18 gamma nonalactone,104-61-0,VERIFIED_MATCH,Gamma-Nonalactone,104-61-0,https://pubchem.ncbi.nlm.nih.gov/compound/7710,0.2100,FALSE,,,,
5DD12925,PerfumersWorld,Aldehyde C-18 Gamma Nonalactone 10% in DPG from PerfumersWorld,aldehyde c-18 gamma nonalactone,"104-61-0|0.1
25265-71-8|0.9",VERIFIED_MATCH,Gamma-Nonalactone,104-61-0,https://pubchem.ncbi.nlm.nih.gov/compound/7710,0.0700,TRUE,Aldehyde C-18 Gamma Nonalactone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4AG00025,PerfumersWorld,Aldehyde C-7 Heptanal from PerfumersWorld,aldehyde c-7 heptanal,111-71-7,VERIFIED_MATCH,Heptanal,111-71-7,https://pubchem.ncbi.nlm.nih.gov/compound/8130,0.6200,FALSE,,,,
4AC00026,PerfumersWorld,Aldehyde C-8 Octanal from PerfumersWorld,aldehyde c-8 octanal,124-13-0,VERIFIED_MATCH,Octanal,124-13-0,https://pubchem.ncbi.nlm.nih.gov/compound/454,0.2000,FALSE,,,,
5AC08158,PerfumersWorld,Aldehyde C-8 Octanal 10% in DPG from PerfumersWorld,aldehyde c-8 octanal,"124-13-0|0.1
25265-71-8|0.9",VERIFIED_MATCH,Octanal,124-13-0,https://pubchem.ncbi.nlm.nih.gov/compound/454,0.0700,TRUE,Aldehyde C-8 Octanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4AC00027,PerfumersWorld,Aldehyde C-9 Nonanal from PerfumersWorld,aldehyde c-9 nonanal,124-19-6,VERIFIED_MATCH,Nonanal,124-19-6,https://pubchem.ncbi.nlm.nih.gov/compound/31289,0.2400,FALSE,,,,
5AC10167,PerfumersWorld,Aldehyde C-9 Nonanal 10% in DPG from PerfumersWorld,aldehyde c-9 nonanal,"124-19-6|0.1
25265-71-8|0.9",VERIFIED_MATCH,Nonanal,124-19-6,https://pubchem.ncbi.nlm.nih.gov/compound/31289,0.0700,TRUE,Aldehyde C-9 Nonanal from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
6GN23713,PerfumersWorld,Algenone from PerfumersWorld,algenone,Mixture (Perfume Base),VERIFIED,,,,0.4000,FALSE,,,,
4GN23714,PerfumersWorld,Algix Pure from PerfumersWorld,algix pure,72987-59-8,VERIFIED_MATCH,"Ethanol, 2-(4-methylphenoxy)-1-(2-phenylethoxy)-",72987-59-8,https://pubchem.ncbi.nlm.nih.gov/compound/166400,2.2500,FALSE,,,,
4FG00029,PerfumersWorld,Allyl Amyl Glycolate from PerfumersWorld,allyl amyl glycolate,67634-00-8,VERIFIED_MATCH,Allyl amyl glycolate,67634-00-8,https://pubchem.ncbi.nlm.nih.gov/compound/106729,0.2000,FALSE,,,,
5FG07543,PerfumersWorld,Allyl Amyl Glycolate 10% in DPG from PerfumersWorld,allyl amyl glycolate,"67634-00-8|0.1
25265-71-8|0.9",VERIFIED_MATCH,Allyl amyl glycolate,67634-00-8,https://pubchem.ncbi.nlm.nih.gov/compound/106729,0.0500,TRUE,Allyl Amyl Glycolate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4FC02995,PerfumersWorld,Allyl Caproate from PerfumersWorld,allyl caproate,123-68-2,VERIFIED_MATCH,Allyl caproate,123-68-2,https://pubchem.ncbi.nlm.nih.gov/compound/31266,0.1400,FALSE,,,,
4FC00030,PerfumersWorld,Allyl Cyclohexyl Propionate from PerfumersWorld,allyl cyclohexyl propionate,2705-87-5,FIXED_FROM_AUDIT,Allyl cyclohexyl propionate,2705-87-5,https://pubchem.ncbi.nlm.nih.gov/compound/21862952,0.1700,FALSE,,,,
5FC12465,PerfumersWorld,Allyl Cyclohexyl Propionate 10% in DPG from PerfumersWorld,allyl cyclohexyl propionate,"2705-87-5|0.1
25265-71-8|0.9",FIXED_FROM_AUDIT,Allyl cyclohexyl propionate,2705-87-5,https://pubchem.ncbi.nlm.nih.gov/compound/21862952,0.0600,TRUE,Allyl Cyclohexyl Propionate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
4IN10857,PerfumersWorld,Allyl Ionone Cetone V from PerfumersWorld,allyl ionone cetone v,79-78-7,VERIFIED_MATCH,Allyl-alpha-ionone,79-78-7,https://pubchem.ncbi.nlm.nih.gov/compound/5365976,1.3000,FALSE,,,,
9IF02656,PerfumersWorld,Alpha Damascone from PerfumersWorld,alpha damascone,43052-87-5,DATA_GAP_MANUAL_CHECK,"(E)-1-(2,6,6-trimethylcyclohex-2-en-1-yl)but-2-en-1-one",43052-87-5,https://pubchem.ncbi.nlm.nih.gov/compound/5366077,1.9000,FALSE,,,,
5IF07569,PerfumersWorld,Alpha Damascone 10% in DPG from PerfumersWorld,alpha damascone,"43052-87-5|0.1
25265-71-8|0.9",VERIFIED_MATCH,alpha-Damascone,43052-87-5,https://pubchem.ncbi.nlm.nih.gov/compound/520506,0.2100,TRUE,Alpha Damascone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
3IF00237,PerfumersWorld,Alpha Ionone from PerfumersWorld,alpha ionone,127-41-3,FIXED_FROM_AUDIT,,127-41-3,https://pubchem.ncbi.nlm.nih.gov/compound/5282108,0.2600,FALSE,,,,
8II00243,PerfumersWorld,Alpha Irone from PerfumersWorld,alpha irone,79-69-6,VERIFIED_MATCH,alpha-Irone,79-69-6,https://pubchem.ncbi.nlm.nih.gov/compound/5371002,5.1000,FALSE,,,,
5II11436,PerfumersWorld,Alpha Irone 10% in DPG from PerfumersWorld,alpha irone,"79-69-6|0.1
25265-71-8|0.9",VERIFIED_MATCH,alpha-Irone,79-69-6,https://pubchem.ncbi.nlm.nih.gov/compound/5371002,0.5200,TRUE,Alpha Irone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
5II09179,PerfumersWorld,Alpha Irone 10% in Myristic Acid(solid) from PerfumersWorld,alpha irone,79-69-6|0.1,VERIFIED_MATCH,alpha-Irone,79-69-6,https://pubchem.ncbi.nlm.nih.gov/compound/5371002,0.5700,TRUE,Alpha Irone from PerfumersWorld,Myristic Acid(solid) from PerfumersWorld,10.00,
3IW00300,PerfumersWorld,Alpha Isomethyl Ionone from PerfumersWorld,alpha isomethyl ionone,127-51-5,FIXED_FROM_AUDIT,,127-51-5,https://pubchem.ncbi.nlm.nih.gov/compound/5372174,0.2300,FALSE,,,,
3KC14406,PerfumersWorld,Alpha Pinene from PerfumersWorld,alpha pinene,80-56-8,FIXED_FROM_AUDIT,,80-56-8,https://pubchem.ncbi.nlm.nih.gov/compound/6654,0.0800,FALSE,,,,
3KL00430,PerfumersWorld,Alpha Terpineol from PerfumersWorld,alpha terpineol,98-55-5,FIXED_FROM_AUDIT,,98-55-5,https://pubchem.ncbi.nlm.nih.gov/compound/17100,0.1500,FALSE,,,,
4WW17035,PerfumersWorld,Amber Core from PerfumersWorld,amber core,139504-68-0,VERIFIED_MATCH,2-tert-Butylcyclohexyloxybutanol,139504-68-0,https://pubchem.ncbi.nlm.nih.gov/compound/164422,0.5000,FALSE,,,,
3WQ11673,PerfumersWorld,Amber Decane from PerfumersWorld,amber decane,58567-11-6,VERIFIED,"2,6,6,7,8,8-Hexamethyldecahydro-2H-indeno[4,5-b]furan",58567-11-6,https://pubchem.ncbi.nlm.nih.gov/compound/57357974,0.4500,FALSE,,,,
6WV18080,PerfumersWorld,AMBER F-TEC from PerfumersWorld,amber,Mixture (Perfume Base),VERIFIED,,,,0.1500,FALSE,,,,
6WV12277,PerfumersWorld,Amber Fleuressence from PerfumersWorld,amber,Mixture (Perfume Base),VERIFIED,,,,0.1200,FALSE,,,,
6VU09627,PerfumersWorld,Amber Solid from PerfumersWorld,amber solid,Mixture (Perfume Base),VERIFIED,,,,0.2800,FALSE,,,,
6UY18081,PerfumersWorld,AMBERGRIS F-TEC from PerfumersWorld,ambergris,Mixture (Perfume Base),VERIFIED,,,,0.2000,FALSE,,,,
6UY09424,PerfumersWorld,Ambergris Fleuressence from PerfumersWorld,ambergris,Mixture (Perfume Base),VERIFIED,,,,0.2200,FALSE,,,,
4WW16862,PerfumersWorld,Amberketal IPM from PerfumersWorld,amberketal ipm,57345-19-4,VERIFIED_MATCH,"5H-3,5a-Epoxynaphth[2,1-c]oxepin, dodecahydro-3,8,8,11a-tetramethyl-",57345-19-4,https://pubchem.ncbi.nlm.nih.gov/compound/93639,1.8200,FALSE,,,,
4WU16860,PerfumersWorld,Ambermax 50% Dowanol TPM from PerfumersWorld,ambermax,929625-08-1,VERIFIED_MATCH,"1,3,4,5,6,7-Hexahydro-beta,1,1,5,5-pentamethyl-2H-2,4a-methanonaphthalene-8-ethanol",929625-08-1,https://pubchem.ncbi.nlm.nih.gov/compound/68852524,0.9900,FALSE,,,,
6UQ20900,PerfumersWorld,AMBERNOIR F-TEC from PerfumersWorld,ambernoir,Mixture (Perfume Base),VERIFIED,,,,0.3500,FALSE,,,,
6UQ20857,PerfumersWorld,AmberNoir Fleuressence from PerfumersWorld,ambernoir,Mixture (Perfume Base),VERIFIED,,,,0.3500,FALSE,,,,
6UQ09624,PerfumersWorld,Amberome Base PW from PerfumersWorld,amberome  pw,Mixture (Perfume Base),VERIFIED,,,,1.8000,FALSE,,,,
6UV16208,PerfumersWorld,Ambreine Classic PW from PerfumersWorld,ambreine classic pw,Mixture (Perfume Base),VERIFIED,,,,0.8000,FALSE,,,,
6VC09625,PerfumersWorld,Ambreine Fleuressence from PerfumersWorld,ambreine,Mixture (Perfume Base),VERIFIED,,,,0.2000,FALSE,,,,
8XU00529,PerfumersWorld,Ambrette Seed Absolute from PerfumersWorld,ambrette seed absolute,84455-19-6,NATURAL_MIXTURE,,84455-19-6,,20.0200,FALSE,,,,
5XU12235,PerfumersWorld,Ambrette Seed Absolute 10% in DPG from PerfumersWorld,ambrette seed absolute,"84455-19-6|0.1
25265-71-8|0.9",NATURAL_MIXTURE,,84455-19-6,,2.5200,TRUE,Ambrette Seed Absolute from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
6XU18931,PerfumersWorld,AMBRETTE SEED F-TEC from PerfumersWorld,ambrette seed,Mixture (Perfume Base),VERIFIED,,,,0.4000,FALSE,,,,
4XU00034,PerfumersWorld,Ambrettolide from PerfumersWorld,ambrettolide,28645-51-4,VERIFIED_MATCH,"Oxacycloheptadec-8-en-2-one, (8Z)-",28645-51-4,https://pubchem.ncbi.nlm.nih.gov/compound/5365703,2.5000,FALSE,,,,
5XU07617,PerfumersWorld,Ambrettolide 10% in DPG from PerfumersWorld,ambrettolide,"28645-51-4|0.1
25265-71-8|0.9",VERIFIED_MATCH,"Oxacycloheptadec-8-en-2-one, (8Z)-",28645-51-4,https://pubchem.ncbi.nlm.nih.gov/compound/5365703,0.2700,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
5XU10231,PerfumersWorld,Ambrettolide 50% in DPG from PerfumersWorld,ambrettolide,"123-69-3|0.5
25265-71-8|0.5",VERIFIED_MATCH,"Oxacycloheptadec-8-en-2-one, (8Z)-",123-69-3,https://pubchem.ncbi.nlm.nih.gov/compound/5365703,1.4000,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00,
1WU21632,PerfumersWorld,Ambrocenide from PerfumersWorld,ambrocenide,211299-54-6,VERIFIED_MATCH,"4H-4a,9-Methanoazuleno[5,6-d]-1,3-dioxole, octahydro-2,2,5,8,8,9a-hexamethyl-, (4aR,5R,7aS,9R)-",211299-54-6,https://pubchem.ncbi.nlm.nih.gov/compound/66731260,4.9300,FALSE,,,,
5WU22697,PerfumersWorld,Ambrocenide 10% in DPG from PerfumersWorld,ambrocenide,"211299-54-6|0.1
25265-71-8|0.9",VERIFIED_MATCH,"4H-4a,9-Methanoazuleno[5,6-d]-1,3-dioxole, octahydro-2,2,5,8,8,9a-hexamethyl-, (4aR,5R,7aS,9R)-",211299-54-6,https://pubchem.ncbi.nlm.nih.gov/compound/66731260,0.5600,TRUE,Ambrocenide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00,
