Product_ID,Material_Name,CAS_Number,Price_US/g,Notes,Is_Dilution,Active_Material,Solvent,Active_%,Availability,Price_Change
5FG07543,Allyl Amyl Glycolate 10% in DPG from PerfumersWorld,"67634-00-8|0.1
25265-71-8|0.9",0.050,,TRUE,Allyl Amyl Glycolate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4FC02995,Allyl Caproate from PerfumersWorld,123-68-2,0.140,,FALSE,,,,Available,unchanged
4FC00030,Allyl Cyclohexyl Propionate from PerfumersWorld,2705-87-5,0.170,,FALSE,,,,Available,unchanged
5FC12465,Allyl Cyclohexyl Propionate 10% in DPG from PerfumersWorld,"2705-87-5|0.1
25265-71-8|0.9",0.060,,TRUE,Allyl Cyclohexyl Propionate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4IN10857,Allyl Ionone Cetone V from PerfumersWorld,79-78-7,1.300,,FALSE,,,,Available,+0.890
9IF02656,Alpha Damascone from PerfumersWorld,43052-87-5,1.900,,FALSE,,,,Available,unchanged
5IF07569,Alpha Damascone 10% in DPG from PerfumersWorld,"24720-09-0|0.1
25265-71-8|0.9",0.210,,TRUE,Alpha Damascone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
3IF00237,Alpha Ionone from PerfumersWorld,127-41-3,0.260,,FALSE,,,,Available,unchanged
8II00243,Alpha Irone from PerfumersWorld,79-69-6,5.100,,FALSE,,,,Available,+0.120
5II11436,Alpha Irone 10% in DPG from PerfumersWorld,"79-69-6|0.1
25265-71-8|0.9",0.520,,TRUE,Alpha Irone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
5II09179,Alpha Irone 10% in Myristic Acid(solid) from PerfumersWorld,"79-69-6|0.1
544-63-8|0.9",0.570,,TRUE,Alpha Irone from PerfumersWorld,Myristic Acid from PerfumersWorld,10.00%,Available,unchanged
3IW00300,Alpha Isomethyl Ionone from PerfumersWorld,127-51-5,0.230,,FALSE,,,,Available,unchanged
3KC14406,Alpha Pinene from PerfumersWorld,80-56-8,0.080,,FALSE,,,,Available,unchanged
3KL00430,Alpha Terpineol from PerfumersWorld,98-55-5,0.150,,FALSE,,,,Available,+0.050
4WW17035,Amber Core from PerfumersWorld,139504-68-0,0.460,,FALSE,,,,Not Listed,REMOVED
3WQ11673,Amber Decane from PerfumersWorld,58567-11-6,0.450,,FALSE,,,,Available,+0.010
6WV18080,AMBER F-TEC from PerfumersWorld,Mixture (Perfume Base),0.150,,FALSE,,,,Available,unchanged
6WV12277,Amber Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.120,,FALSE,,,,Available,unchanged
6VU09627,Amber Solid from PerfumersWorld,Mixture (Perfume Base),0.280,,FALSE,,,,Available,unchanged
6UY18081,AMBERGRIS F-TEC from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
6UY09424,Ambergris Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.220,,FALSE,,,,Available,unchanged
4WW16862,Amberketal IPM from PerfumersWorld,57345-19-4,1.820,,FALSE,,,,Available,unchanged
4WU16860,Ambermax 50% Dowanol TPM from PerfumersWorld,929625-08-1,0.990,,FALSE,,,,Available,unchanged
6UQ20900,AMBERNOIR F-TEC from PerfumersWorld,Mixture (Perfume Base),0.350,,FALSE,,,,Available,unchanged
6UQ20857,AmberNoir Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.350,,FALSE,,,,Available,unchanged
6UQ09624,Amberome Base PW from PerfumersWorld,Mixture (Perfume Base),1.800,,FALSE,,,,Available,unchanged
6UV16208,Ambreine Classic PW from PerfumersWorld,Mixture (Perfume Base),0.800,,FALSE,,,,Available,unchanged
6VC09625,Ambreine Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
8XU00529,Ambrette Seed Absolute from PerfumersWorld,19317-11-4,20.020,,FALSE,,,,Available,unchanged
5XU12235,Ambrette Seed Absolute 10% in DPG from PerfumersWorld,"8015-62-1|0.1
25265-71-8|0.9",2.520,,TRUE,Ambrette Seed Absolute from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
6XU18931,AMBRETTE SEED F-TEC from PerfumersWorld,Mixture (Perfume Base),0.400,,FALSE,,,,Available,unchanged
4XU00034,Ambrettolide from PerfumersWorld,28645-51-4,2.500,,FALSE,,,,Available,unchanged
5XU07617,Ambrettolide 10% in DPG from PerfumersWorld,"7779-50-2|0.1
25265-71-8|0.9",0.270,,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
5XU10231,Ambrettolide 50% in DPG from PerfumersWorld,"7779-50-2|0.5
25265-71-8|0.5",1.400,,TRUE,Ambrettolide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00%,Available,unchanged
1WU21632,Ambrocenide from PerfumersWorld,211299-54-6,4.930,,FALSE,,,,Available,unchanged
5WU22697,Ambrocenide 10% in DPG from PerfumersWorld,"211299-54-6|0.1
25265-71-8|0.9",0.560,,TRUE,Ambrocenide from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
5WU22696,Ambrocenide 10% in TEC from PerfumersWorld,"211299-54-6|0.1
77-93-0|0.9",0.580,,TRUE,Ambrocenide from PerfumersWorld,Triethyl Citrate (TEC) from PerfumersWorld,10.00%,Available,unchanged
1UW16861,Ambrofix from PerfumersWorld,6790-58-5,1.870,,FALSE,,,,Available,unchanged
1UW00035,Ambrox Super from PerfumersWorld,6790-58-5,1.500,,FALSE,,,,Available,unchanged
5UW20027,Ambrox Super 10% in DPG from PerfumersWorld,"6790-58-5|0.1
25265-71-8|0.9",0.200,,TRUE,Ambrox Super from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
1UW00036,Ambroxan from PerfumersWorld,6790-58-5,2.520,,FALSE,,,,Available,unchanged
5UW07540,Ambroxan 10% in DPG from PerfumersWorld,"6790-58-5|0.1
25265-71-8|0.9",0.370,,TRUE,Ambroxan from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
3JJ00005,Amyl Cinnamic Aldehyde (ACA) from PerfumersWorld,122-40-7,0.200,,FALSE,,,,Available,unchanged
3OH00037,Amyl Salicylate from PerfumersWorld,2050-08-0,0.140,,FALSE,,,,Available,unchanged
4FD06346,Amyl Valerate from PerfumersWorld,2173-56-0,0.950,,FALSE,,,,Available,unchanged
7WX00917,Amyris Essential Oil from PerfumersWorld,23696-85-7,0.820,,FALSE,,,,Available,unchanged
4SB00038,Anethole from PerfumersWorld,4180-23-8,0.200,,FALSE,,,,Available,unchanged
6DU18084,ANIMALISSIMO F-TEC from PerfumersWorld,Mixture (Perfume Base),0.160,,FALSE,,,,Available,unchanged
6DU12415,Animalissio Blender Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.150,,FALSE,,,,Available,unchanged
3NV00040,Anisaldehyde from PerfumersWorld,123-11-5,0.260,,FALSE,,,,Available,unchanged
7SB00041,Anise Essential Oil China from PerfumersWorld,123-11-5,0.240,,FALSE,,,,Available,unchanged
3LN00043,Anisyl Acetate from PerfumersWorld,104-21-2,0.280,,FALSE,,,,Available,unchanged
3NL00044,Anisyl Alcohol from PerfumersWorld,105-13-5,0.200,,FALSE,,,,Available,unchanged
7WY10413,Anthopogen Essential Oil from PerfumersWorld,116-26-7,1.800,,FALSE,,,,Available,unchanged
6FG18856,APPLE F-TEC from PerfumersWorld,Mixture (Perfume Base),0.160,,FALSE,,,,Available,unchanged
6FG07793,Apple Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.220,,FALSE,,,,Available,unchanged
6FG08058,Apple Green from PerfumersWorld,Mixture (Perfume Base),0.150,,FALSE,,,,Available,+0.010
6FG08026,Apple Red from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
0ZA01228,Apricot Oil - Fixed Oil from PerfumersWorld,68650-44-2,0.100,,FALSE,,,,Available,unchanged
3FD06779,Apritone from PerfumersWorld,68133-79-9,0.780,,FALSE,,,,Available,unchanged
6WQ18085,ARABIAN OUD F-TEC from PerfumersWorld,Mixture (Perfume Base),0.400,,FALSE,,,,Available,+0.050
6WQ08484,Arabian Oud Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.280,,FALSE,,,,Available,unchanged
7HH00896,Armoise Essential Oil from PerfumersWorld,106-24-1,0.990,,FALSE,,,,Available,unchanged
6HH18090,ARMOISE F-TEC from PerfumersWorld,Mixture (Perfume Base),0.370,,FALSE,,,,Available,unchanged
6HH09096,Armoise Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.350,,FALSE,,,,Available,unchanged
7WW00915,Atlas Cedarwood Essential Oil from PerfumersWorld,469-61-4,0.310,,FALSE,,,,Available,unchanged
5NC12180,Aurantiol (Methyl Anthranilate Schiffs Base) 50% in DPG from PerfumersWorld,"89-43-0|0.5
25265-71-8|0.5",0.220,,TRUE,Aurantiol - Methyl Anthranilate Schiffs Base from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00%,Available,unchanged
2NC00409,Aurantiol - Methyl Anthranilate Schiffs Base from PerfumersWorld,89-43-0,0.370,,FALSE,,,,Available,unchanged
0ZA01433,Avocado Oil - Fixed Oil from PerfumersWorld,8024-32-6,0.120,,FALSE,,,,Available,unchanged
4WB16858,Azarbre from PerfumersWorld,68845-36-3,0.400,,FALSE,,,,Available,unchanged
6BB18004,B-ICEBERG F-TEC from PerfumersWorld,Mixture (Perfume Base),0.120,,FALSE,,,,Available,unchanged
6BB07833,B-iceBerg Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
6FD18188,BANANA F-TEC from PerfumersWorld,Mixture (Perfume Base),0.150,,FALSE,,,,Available,unchanged
6FD09062,Banana Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.260,,FALSE,,,,Available,unchanged
6PS18638,BASIL F-TEC from PerfumersWorld,Mixture (Perfume Base),0.380,,FALSE,,,,Available,+0.030
6PS12413,Basil Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.180,,FALSE,,,,Available,unchanged
7SP00048,Bay West Indies Essential Oil from PerfumersWorld,106-24-1,1.300,,FALSE,,,,Available,unchanged
5SP07871,Bay West Indies Essential Oil 10% in DPG from PerfumersWorld,"8006-78-8|0.1
25265-71-8|0.9",0.150,,TRUE,Bay West Indies Essential Oil 10% in DPG from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
2QV23712,Benjoin Laos Matured from PerfumersWorld,9000-72-0,0.600,,FALSE,,,,Available,unchanged
4FN00049,Benzaldehyde from PerfumersWorld,100-52-7,0.180,,FALSE,,,,Available,unchanged
5FN07794,Benzaldehyde 10% in DPG from PerfumersWorld,"100-52-7|0.1
25265-71-8|0.9",0.070,,TRUE,Benzaldehyde from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
6QV18435,BENZOIN F-TEC from PerfumersWorld,Mixture (Perfume Base),0.300,,FALSE,,,,Available,+0.050
6QV09111,Benzoin Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.350,,FALSE,,,,Available,unchanged
2QV00050,Benzoin Siam Resinoid from PerfumersWorld,100-51-6,0.700,,FALSE,,,,Available,+0.100
5QV07505,Benzoin Siam Resinoid 50% in BB from PerfumersWorld,"9000-72-0|0.5
120-51-4|0.5",0.400,,TRUE,Benzoin Siam Resinoid from PerfumersWorld,Benzyl Benzoate (BB) from PerfumersWorld,50.00%,Available,+0.050
5QV13027,Benzoin Siam Resinoid 50% in DPG from PerfumersWorld,"9000-72-0|0.5
25265-71-8|0.5",0.400,,TRUE,Benzoin Siam Resinoid from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,50.00%,Available,+0.060
2QV08253,Benzoin Sumatra Resinoid from PerfumersWorld,100-51-6,0.400,,FALSE,,,,Available,unchanged
1RP00051,Benzophenone from PerfumersWorld,119-61-9,0.150,,FALSE,,,,Available,unchanged
5RP09245,Benzophenone 10% in DPG from PerfumersWorld,"119-61-9|0.1
25265-71-8|0.9",0.080,,TRUE,Benzophenone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
3JF00052,Benzyl Acetate from PerfumersWorld,140-11-4,0.200,,FALSE,,,,Available,unchanged
0ZN00053,Benzyl Alcohol (BA) from PerfumersWorld,100-51-6,0.200,,FALSE,,,,Available,unchanged
0ZN00054,Benzyl Benzoate (BB) from PerfumersWorld,120-51-4,0.200,,FALSE,,,,Available,unchanged
4JD00055,Benzyl Butyrate from PerfumersWorld,103-37-7,0.200,,FALSE,,,,Available,unchanged
2SQ00056,Benzyl Cinnamate from PerfumersWorld,103-41-3,0.300,,FALSE,,,,Available,+0.050
5SQ12479,Benzyl Cinnamate 10% in DPG from PerfumersWorld,"103-41-3|0.1
25265-71-8|0.9",0.100,,TRUE,Benzyl Cinnamate from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,+0.040
4JW00057,Benzyl Formate from PerfumersWorld,104-57-4,0.840,,FALSE,,,,Available,unchanged
1SP00058,Benzyl Isoeugenol from PerfumersWorld,120-11-6,0.700,,FALSE,,,,Available,unchanged
5SP12480,Benzyl Isoeugenol 10% in DPG from PerfumersWorld,"120-11-6|0.1
25265-71-8|0.9",0.100,,TRUE,Benzyl Isoeugenol from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
3JF00059,Benzyl Propionate from PerfumersWorld,122-63-4,0.090,,FALSE,,,,Available,unchanged
3ON00060,Benzyl Salicylate from PerfumersWorld,118-58-1,0.090,,FALSE,,,,Available,unchanged
7CL00061,Bergamot Essential Oil from PerfumersWorld,112-31-2,0.350,,FALSE,,,,Available,unchanged
6CL18898,BERGAMOT F-TEC from PerfumersWorld,Mixture (Perfume Base),0.180,,FALSE,,,,Available,unchanged
7CL24020,Bergamot FCF oil Sicilian from PerfumersWorld,68648-33-9,0.220,,FALSE,,,,Available,unchanged
6CL09058,Bergamot Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.200,,FALSE,,,,Available,unchanged
3FG19149,Berry Hexanoate (BerryFlor) from PerfumersWorld,104986-28-9,1.100,,FALSE,,,,Available,unchanged
3WS00089,Beta Caryophyllene from PerfumersWorld,87-44-5,0.140,,FALSE,,,,Available,unchanged
9IR00141,Beta Damascone from PerfumersWorld,23696-85-7,3.180,,FALSE,,,,Available,unchanged
5IR07532,Beta Damascone 10% in DPG from PerfumersWorld,"23726-91-2|0.1
25265-71-8|0.9",0.350,,TRUE,Beta Damascone from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
4BC11314,Beta Homocyclocitral from PerfumersWorld,472-66-2,7.600,,FALSE,,,,Available,unchanged
3IF00238,Beta Ionone from PerfumersWorld,79-77-6,0.290,,FALSE,,,,Available,unchanged
3KC00386,Beta Pinene from PerfumersWorld,127-91-3,0.060,,FALSE,,,,Available,unchanged
5TP07825,Birch Tar Essential Oil 1% in DPG from PerfumersWorld,"8001-88-5|0.01
25265-71-8|0.99",0.150,,TRUE,Birch Tar Oil Rectified 10% in DPG from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,1.00%,Available,unchanged
7TP00822,Birch Tar Oil Rectified from PerfumersWorld,8001-88-5,2.300,,FALSE,,,,Available,+0.200
5TP11094,Birch Tar Oil Rectified 10% in DPG from PerfumersWorld,"8001-88-5|0.1
25265-71-8|0.9",0.250,,TRUE,Birch Tar Oil Rectified from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
7CA00849,Bitter Orange Essential Oil from PerfumersWorld,2111-75-3,0.500,,FALSE,,,,Available,+0.040
6WU07708,Black Agarwood Artificial from PerfumersWorld,Mixture (Perfume Base),1.700,,FALSE,,,,Available,unchanged
7SQ00359,Black Pepper Essential Oil from PerfumersWorld,106-22-9,1.000,,FALSE,,,,Available,unchanged
6SH18444,BLACK PEPPER F-TEC from PerfumersWorld,Mixture (Perfume Base),0.300,,FALSE,,,,Available,unchanged
6SH09677,Black Pepper Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.500,,FALSE,,,,Available,unchanged
6HE09224,Black Tea Base from PerfumersWorld,Mixture (Perfume Base),0.290,,FALSE,,,,Available,unchanged
8FB00063,Blackcurrant Absolute from PerfumersWorld,122-78-1,8.100,,FALSE,,,,Available,+1.000
5FB20096,Blackcurrant Absolute 10% in DPG from PerfumersWorld,"68606-81-5|0.1
25265-71-8|0.9",0.640,,TRUE,Blackcurrant Absolute from PerfumersWorld,Dipropylene Glycol (DPG) from PerfumersWorld,10.00%,Available,unchanged
6FB18179,BLACKCURRANT F-TEC from PerfumersWorld,Mixture (Perfume Base),0.320,,FALSE,,,,Available,unchanged
6FB09427,Blackcurrant Fleuressence from PerfumersWorld,Mixture (Perfume Base),0.300,,FALSE,,,,Available,unchanged
7CA24032,Blood Orange oil Sicilian from PerfumersWorld,8028-48-6,0.180,,FALSE,,,,Available,unchanged
